id,old_split,split,group_id,category,label_text,label_img,label_combo,source,source_family,source_item_id,template_parent_id,text_hash,image_path_key,image_sha256,image_dhash,image_url_hash,image_prompt_hash,image_description_hash,is_msts,image_found
A_ext_0000,train,train,G0001,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0000,A_ext_0000,715e5947f7d96f1c9a2eb949dba310147899be1e298c959bb333e8654d5eb8b3,dataset/images/A_ext_0000.jpg,ac9859242198f2c2406d513ccd5dea46551ee8516e9fc9b410e102b507a1df5e,78e8859c2461e6e6,d800237fb6f66449afca77d8b97da0559d1a190e9d3198ea393986b1c6ab4c25,,,False,True
A_ext_0001,train,train,G0002,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0001,A_ext_0001,368df8bd869a9bc2dd1129ad8f0ae747e1429d4b9bedc61e886578eb123c41e9,dataset/images/A_ext_0001.jpg,849ade3e4a3004e7374ddf3e9d39054d39b0224f2fd88d2e39d54b807a8bc0cb,5e4e5d1d1d159517,bff03dc4b7c3c54029f567b7712e98cd7404c02724f215a8e0799280271493f2,,,False,True
A_ext_0002,test,test,G0003,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0002,A_ext_0002,5cb8dc4e00ece52de8a34c1e503c0fd77d906d8bdcab06ca7a4f854692938c01,dataset/images/A_ext_0002.jpg,875b128cd79fb07ac0b19b57b8f1ffc9da27f98722e6bfe25d3e7fe486259876,e3e2c7831e3d79f9,97fa6efd6a8a1015e244a65c061b7b3d1201d451fe64df020f3b1f9e4535c5ee,,,False,True
A_ext_0003,train,train,G0004,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0003,A_ext_0003,9d5a18875ef8284be4d6b59c6798b1bb765cbce211b98309de7e45e3c2271f82,dataset/images/A_ext_0003.jpg,7437f45ae6bcfb1dde94525ec3f7ab8f138151eecff80af57a9bba1d63209480,ce1e9ecc0a031b19,61789ca73970ab2116a60cabd907a65f148279d7aa83cb5c8a38e73913d78d35,,,False,True
A_ext_0004,train,train,G0005,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0004,A_ext_0004,a13826a8e4ee47cbd8714468e6b0f2bc993097352bdf91137ff4889222d912ac,dataset/images/A_ext_0004.jpg,80c5b7794f34de84b595ab09339de3b843c8b58f92c3f3c0ab464d2ef964b00c,0832978f326cc896,f3f14efe5df052dbe15e36fd51785c3cf0afcf9b4cf504fbfcaff4a31a9af561,,,False,True
A_ext_0005,train,train,G0006,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0005,A_ext_0005,08ee4e642275f949e223b337b1c7725521b2625e50130506a1006f73074f9887,dataset/images/A_ext_0005.jpg,fe2a6faaca2ec00693ea0b4c15a67b52972aa2795b404394a4e36c3b128896b4,24384e63c3c84c2e,4f080f326910ed30ba1894782dca0fb66a754975612d98a66980146135b9a37e,,,False,True
A_ext_0006,train,train,G0007,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0006,A_ext_0006,68639b55f6857daaf3f06eff9e2a26c184a01d233bb4b923626f5ede31b46ee8,dataset/images/A_ext_0006.jpg,55117d72b6137537e88aa8b06ebc5cf15f27bd9a6f83355716fdafa69be22330,2a2aba17290f2300,e294f623fae6ebf26b62af39cb4ae7f0a860b44cac7783bb551708b73f048ee9,,,False,True
A_ext_0007,train,train,G0008,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0007,A_ext_0007,f0098f09599d43961e141be5f43867b0567f8a5f5bfb9dd52242246dd38910af,dataset/images/A_ext_0007.jpg,3b29515b02d222d04df71e2793b0f8acce033e513aa343bf801ff0d8235af297,33cccc3331cc5533,dd4f232fe4bba36211628cdebde4a3c2ca7a5ecab3c5bf3ee1e4e4728894288b,,,False,True
A_ext_0008,train,train,G0009,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0008,A_ext_0008,cbc7fcd4fab391174b2de173e894ea55839e789f41146ccc6397bf3d8ffe5d29,dataset/images/A_ext_0008.jpg,823ab5759d703e806ba447e0bc6a2c64e1c59c664f7d992d873bf77058074341,ec3c3c3c0cf4386e,493d87c97c583d8b9d965d812f80eec319e9730d128c2e7cf930a06e68b4690a,,,False,True
A_ext_0009,test,test,G0010,A,1,0,0,BeaverTails+ConceptualCaptions,BeaverTails+ConceptualCaptions,A_ext_0009,A_ext_0009,2a48923b8984d1e09ca67a62e97b021fcffccef94c00e4debb6b179455f5d871,dataset/images/A_ext_0009.jpg,d1ac3bf5ff0a97758cb7733def5f27d843fe64de38cb5cb97070147dfe11d4ab,f0f0e43a332364f8,a4834152b4ea27f1e32e89eb619c8d2e95fb06c8d4d3f490c1050cddb3eaa253,,,False,True
