seed,benchmark,tau_T,tau_V,tau_C,sc_auc,sc_tpr,sc_fpr,full_tpr,full_fpr,full_precision,full_f1,full_balanced_accuracy,adapted_sc_auc,adapted_full_tpr,adapted_full_fpr,adapted_full_f1,adapted_full_balanced_accuracy,result_file
123,MSTS_MMStar,0.8939,0.3243,0.7905,1.0,0.97,0.0,0.97,0.0745,0.5419,0.6953,0.94775,,,,,,<project-root>/probes/multiseed_v13/seed_123/probes/delta/evaluation_results_v13_internal.json
123,MMSafety_TextVQA,0.8939,0.3243,0.7905,0.7752,0.375,0.02,0.725,0.06,0.9236,0.8123,0.8325,0.8279,0.22,0.065,0.3424,0.5775,<project-root>/probes/multiseed_v13/seed_123/probes/delta/evaluation_results_2_internal_prova.json
456,MSTS_MMStar,0.7528,0.2984,0.7149,1.0,0.98,0.0,0.98,0.1082,0.4516,0.6183,0.9359,,,,,,<project-root>/probes/multiseed_v13/seed_456/probes/delta/evaluation_results_v13_internal.json
456,MMSafety_TextVQA,0.7528,0.2984,0.7149,0.7825,0.365,0.035,0.725,0.085,0.8951,0.8011,0.8200000000000001,0.8319,0.25,0.065,0.3802,0.5925,<project-root>/probes/multiseed_v13/seed_456/probes/delta/evaluation_results_2_internal_prova.json
789,MSTS_MMStar,0.7751,0.2682,0.6972,1.0,0.99,0.0,0.99,0.0791,0.5323,0.6923,0.95545,,,,,,<project-root>/probes/multiseed_v13/seed_789/probes/delta/evaluation_results_v13_internal.json
789,MMSafety_TextVQA,0.7751,0.2682,0.6972,0.7741,0.36,0.035,0.69,0.075,0.902,0.7819,0.8075,0.8187,0.225,0.02,0.3614,0.6025,<project-root>/probes/multiseed_v13/seed_789/probes/delta/evaluation_results_2_internal_prova.json
2026,MSTS_MMStar,0.6949,0.4515,0.6823,1.0,1.0,0.0,1.0,0.0536,0.6289,0.7722,0.9732000000000001,,,,,,<project-root>/probes/multiseed_v13/seed_2026/probes/delta/evaluation_results_v13_internal.json
2026,MMSafety_TextVQA,0.6949,0.4515,0.6823,0.7847,0.37,0.035,0.66,0.04,0.9429,0.7765,0.81,0.8194,0.2,0.065,0.3162,0.5675,<project-root>/probes/multiseed_v13/seed_2026/probes/delta/evaluation_results_2_internal_prova.json
7,MSTS_MMStar,0.7524,0.4121,0.6775,1.0,1.0,0.0,1.0,0.0755,0.5464,0.7067,0.96225,,,,,,<project-root>/probes/multiseed_v13/seed_7/probes/delta/evaluation_results_v13_internal.json
7,MMSafety_TextVQA,0.7524,0.4121,0.6775,0.7738,0.36,0.035,0.655,0.07,0.9034,0.7594,0.7925,0.8106,0.215,0.065,0.3359,0.5750000000000001,<project-root>/probes/multiseed_v13/seed_7/probes/delta/evaluation_results_2_internal_prova.json
