benchmark,operating_point,target_fpr,baseline,metric,ours,baseline_value,advantage,ci_lower,ci_upper,p_bootstrap,p_holm,significant_holm_0.05
msts_mmstar,fpr_05,0.05,LlavaGuard,recall,1.0,0.72,0.28,0.19999999999999996,0.37,9.999000099990002e-05,0.00029997000299970003,True
msts_mmstar,fpr_05,0.05,LlavaGuard,fpr,0.03909090909090909,0.05545454545454546,0.016363636363636365,-0.000909090909090908,0.03363636363636364,0.0714928507149285,0.142985701429857,False
msts_mmstar,fpr_05,0.05,LlavaGuard,f1,0.823045267489712,0.6180257510729614,0.20501951641675054,0.1283006699867436,0.28594898332609997,9.999000099990002e-05,0.00029997000299970003,True
msts_mmstar,fpr_05,0.05,LlavaGuard,auc,1.0,0.900740909090909,0.09925909090909102,0.06235488636363633,0.14197306818181815,9.999000099990002e-05,0.00029997000299970003,True
msts_mmstar,fpr_05,0.05,ShieldVLM,recall,1.0,0.74,0.26,0.18000000000000005,0.35,9.999000099990002e-05,0.00029997000299970003,True
msts_mmstar,fpr_05,0.05,ShieldVLM,fpr,0.03909090909090909,0.06818181818181818,0.029090909090909084,0.01090909090909091,0.04727272727272727,0.001999800019998,0.0059994000599940004,True
msts_mmstar,fpr_05,0.05,ShieldVLM,f1,0.823045267489712,0.5943775100401606,0.22866775744955137,0.15586974280836396,0.3062811565304089,9.999000099990002e-05,0.00029997000299970003,True
msts_mmstar,fpr_05,0.05,ShieldVLM,auc,1.0,0.9479136363636363,0.05208636363636365,0.03681784090909095,0.06878647727272723,9.999000099990002e-05,0.00029997000299970003,True
msts_mmstar,fpr_05,0.05,Granite-Guardian-style,recall,1.0,0.08,0.92,0.86,0.97,9.999000099990002e-05,0.00029997000299970003,True
msts_mmstar,fpr_05,0.05,Granite-Guardian-style,fpr,0.03909090909090909,0.03727272727272727,-0.001818181818181823,-0.017272727272727273,0.014545454545454542,0.823917608239176,0.823917608239176,False
msts_mmstar,fpr_05,0.05,Granite-Guardian-style,f1,0.823045267489712,0.10738255033557047,0.7156627171541415,0.6356635408966583,0.7943722943722945,9.999000099990002e-05,0.00029997000299970003,True
msts_mmstar,fpr_05,0.05,Granite-Guardian-style,auc,1.0,0.44293636363636363,0.5570636363636363,0.4900624999999999,0.6242729545454545,9.999000099990002e-05,0.00029997000299970003,True
msts_mmstar,fpr_01,0.01,LlavaGuard,recall,1.0,0.5,0.5,0.4,0.6,9.999000099990002e-05,0.00029997000299970003,True
